208213,CIÊNCIAS AEROESPACIAIS                                                ,4,A ,GABRIELA CUNHA POSSA
208591,PROJETO DE ESTRUTURAS DE VEICULOS                                     ,4,A ,HENRIQUE GOMES DE MOURA
208655,MELHORIA DE PROCESSOS DE SOFTWARE                                     ,4,A ,EDGARD COSTA OLIVEIRA
103209,ESTRUTURAS DE DADOS E ALGORITMOS 2                                    ,4,A ,MAURICIO SERRANO
103667,ANÁLISE DE SISTEMAS DE ENERGIA ELÉTRICA                               ,4,A ,ALEX REIS
107433,PROJETO DE SISTEMAS DE CONTROLE                                       ,4,A ,SIMONE BATTISTINI
119474,PRÁTICA DE ELETRÔNICA DIGITAL 2                                       ,2,A ,GILMAR SILVA BESERRA
193658,MATERIAIS DE CONSTRUÇÃO DE ENGENHARIA                                 ,4,A ,EMMANUEL PACHECO ROCHA LIMA
195324,COMBUSTÍVEIS E BIOCOMBUSTÍVEIS                                        ,4,A ,JULIANA PETROCCHI RODRIGUES
199150,ELEMENTOS E MÉTODOS EM ELETRÔNICA                                     ,4,A ,GERARDO ANTONIO IDROBO PIZO
201308,REQUISITOS DE SOFTWARE                                                ,4,A ,ELAINE VENSON
201391,MATERIAIS ELÉTRICOS E MAGNÉTICOS PARA ENGENHARIA                      ,4,A ,MARCUS VINICIUS BATISTUTA
203751,MATERIAIS COMPOSTOS E PLÁSTICOS                                       ,4,A ,EMMANUEL PACHECO ROCHA LIMA
206318,TÓPICOS ESPECIAIS 1 EM ENGENHARIA DE ENERGIA                          ,4,A ,JHON NERO VAZ GOULART
208191,SISTEMAS HIDROELÉTRICOS                                               ,5,A ,RUDI HENRI VAN ELS
208221,CIRCUITOS ELETRÔNICOS 3                                               ,4,A ,WELLINGTON AVELINO DO AMARAL
208281,TÓPICOS ESPECIAIS EM ELETRONICA                                       ,4,A ,WELLINGTON AVELINO DO AMARAL
208299,TRANSMISSÃO E DISTRIBUIÇÃO DE ENERGIA ELÉTRICA                        ,5,A ,LOANA NUNES VELASCO
208582,ACÚSTICA E VIBRAÇÕES VEICULARES                                       ,4,A ,MARIA ALZIRA DE ARAUJO NUNES
102849,DINÂMICA DOS MECANISMOS                                               ,4,A ,RITA DE CASSIA SILVA
103217,SEMINÁRIOS EM ENGENHARIA DE SOFTWARE                                  ,2,A ,SERGIO ANTONIO ANDRADE DE FREITAS
104761,TÓPICOS ESPECIAIS EM ENGENHARIA AEROESPACIAL                          ,4,A ,LUIZ CARLOS GADELHA DE SOUZA
110094,DINÂMICA DE ESTRUTURAS AEROESPACIAIS                                  ,4,A ,SERGIO HENRIQUE DA SILVA CARNEIRO
118991,TEORIA DE CIRCUITOS ELETRÔNICOS 1                                     ,4,A ,EULER DE VILHENA GARCIA
119148,PRÁTICA DE CIRCUITOS ELETRÔNICOS 1                                    ,2,A ,LUIS FILOMENO DE JESUS FERNANDES
193321,ENGENHARIA ECONÔMICA                                                  ,4,A ,GLAUCENY CIRNE DE MEDEIROS
193623,TÓPICOS ESPECIAIS DE ENGENHARIA DE SOFTWARE                           ,4,A ,EDNA DIAS CANEDO
193879,ERGONOMIA DO PRODUTO                                                  ,4,A ,MATEUS RODRIGUES MIRANDA
195316,INTRODUÇÃO AO DESIGN E CONCEPÇÃO DE VEÍCULOS                          ,4,A ,ENEIDA GONZALEZ VALDES
195405,ESTRUTURAS MATEMÁTICAS PARA COMPUTAÇÃO                                ,4,A ,EDSON ALVES DA COSTA JÚNIOR
